text,labels
A belief that they had a low risk of infection as a result of the excessive hygiene practices employed during the course of their work; They adopted a healthy lifestyle that strengthened their immune system in natural ways; they have a strengthened immune system as compared to the general population,4
"Four particularly prevalent concerns that nurses expressed relating to decisional autonomy were: (i) personal versus professional vaccination decision, (ii) workplace policy changes, (iii) pressures from hospital administration to vaccinate, and (iv) bodily integrity.",6
Did not perceive diseases such as influenza as posing a health concern to them or their patients.,4
Vaccination was unnecessary because of their young age; it was not necessary for children and infants to vaccinate,1
homeopathic remedies; Naturopathic remedies.,1
"Very sceptical of the efficacy of the HPV, meningococcal and H1N1 vaccines",0
Disapproval of the HPV vaccine by expressing various concerns regarding its risk and safety when administered to young girls,4
Disregarded vaccination as they believed that their immune systems alone can innately fight and ward off any infectious disease.,1
The pertussis vaccine was seen as redundant and unnecessary.,4
"Overarching conspiracy theory connecting prescription drugs, insurance, and opioids ",0
"Swine are used in preparation of the vaccine, which contravenes Muslim religious belief.",3
"Vaccinators being spies, either for the government or for foreign forces.",0
Side-effects of the polio vaccination,4
The international measures being promoted to curb the Covid-19 virus were part of a war on Islam,0
Muslims are immune to the virus,4
"Measures such as social distancing, promotion of water drinking during the fast and suspension of pilgrimages are attempts by evil forces to suppress Islam",0
Health and disease as decreed by God. Having one’s child vaccinated is considered a breach of faith ,3
"People who do accept the risks, as presented by health officials, but who do not wish to subject their own child to the risks of vaccination. These people can be said to take advantage of herd vaccination without accepting the individual costs of achieving such herd vaccination. ",6
Symptoms of poor health,2
Over-consumption of medicine to conform to Western lifestyle expectations,1
Disengagement from nurturing children and self-care,1
"Ignorant, uncritical or fearful conformity. ",6
"Saw food that was fresh, organic and home-grown as a marker of responsible living",1
"Those who relied upon vaccination for wellness demonstrated poor values: not sufficiently tending to children at home, or indeed having children for reasons that seemed unfathomable. ",3
"The unwillingness of many people in contemporary society to stop, rest and allow bodily recovery",1
Herd immunity is an impossible aim,1
"Staying away from the vulnerable, particularly when ill but also sometimes when healthy. ",1
The CDC lied about scientific findings concerning vaccine safety as part of a massive government cover-up.,0
Healthcare workers are among those who refuse to get vaccinated. ,0
Getting Bell’s Palsy; Sterilization and even death. ,4
"The use of COVID-19 vaccine to control the population; Bill Gates and Dr. Anthony Fauci had instigated measures (i.e., microchips and enzymes in the vaccine) to control the population through the administration of the COVID-19 vaccine. ",0
Include the term “plandemic” in the parleys which infers that governments and certain powerful individuals “planned” this health crisis to vaccinate children without parental consent as part of the new world order to control future populations. ,0
Perpetuate the notion that COVID-19 vaccine is administered through coercion or required for military personnel,6
Magnitude of COVID- 19 with other pandemics such as H1N1 and Ebola,4
Vaccine efficacy such as H1N1 and flu vaccine,0
Risk of getting infected with the virus,4
downplaying the magnitude of COVID-19 in comparison to number of deaths caused by flu and abortion each year. ,4
Downplay the COVID-19 severity by equating it to influenza,4
"a series of 160 cases of encephalopathy that, he asserted, represented likely pertussis vaccine reactions. ",4
Profoundly retarded children allegedly injured by the vaccine,4
COVID is a Hoax,0
Vaccine is a Hoax,0
"Illness, damage, or death; Learning disabilities, asthma, and diabetes, to autism, attention deficit-hyperactivity disorder, and Down Syndrome; Parents’ stories about adverse vaccine effects on their children ",4
A violation of civil liberties as associated with mandated vaccination (totalitarianism),6
"Homeopathy, chiropractic, or other alternatives to vaccination ",1
Mercury and aluminum compounds,4
Vaccination being conducted solely for financial gain or that vaccinations were promoted by those with conflicts of interest ,0
Manufactured or exaggerated threat to boost vaccination.,0
"The human body, when it is healthy, is capable of fighting off, or suppressing, any disease. ",1
"A belief described frequently by naturopaths, homeopaths, and chiropractors is that the body has an innate ability to heal. ",1
"Susceptibility to infections was seen as the result of poor personal management of, for instance, diet, stress, exercise, and body alignment (i.e. chiropractors emphasized body alignment)—thus disrupting innate immune processes. ",1
The blood– brain barrier (BBB) “does not exist in infants.”,1
Deaths attributable to vaccines and vaccine-caused autism; associations between vaccines and paralysis and seizures ,4
A conspiracy by “Big Pharma” to increase sales revenue.,0
The government’s role in vaccine injury claims and allegations that the government deliberately conceals negative vaccine side effects. ,0
Criticized vaccine research or institutions conducting research or promoted pseudoscience as fact. ,0
The human papillomavirus vaccine and its association with negative health impacts after vaccnination,4
"The influenza vaccine, highlighting studies showing associations with other respiratory infections, renal failure, and suppressed immune responses",4
"SIDS, autism, or death ",4
"The pharmaceutical industry overall, or a specific pharmaceutical company, such as Merck or Pfizer ",0
"Toxins, mercury, or lead ",4
Studies showing negative health outcomes due to vaccines ,4
Concerns or questions around the safety of vaccines ,4
" ""Murdoch Media Monopoly,”",0
"Governmental agencies, such as the CDC, and pediatricians. Each entity was presented to be primarily concerned with financial gain",0
Big Pharma and governmental agencies were portrayed as fully corrupt and knowledgeable about the fraud and deceit they actively engaged in for illicit gain. ,0
