text,labels
A belief that they had a low risk of infection as a result of the excessive hygiene practices employed during the course of their work; They adopted a healthy lifestyle that strengthened their immune system in natural ways; they have a strengthened immune system as compared to the general population,[0. 0. 1. 0. 0. 0. 0.]
"Four particularly prevalent concerns that nurses expressed relating to decisional autonomy were: (i) personal versus professional vaccination decision, (ii) workplace policy changes, (iii) pressures from hospital administration to vaccinate, and (iv) bodily integrity.",[0. 0. 0. 1. 0. 0. 0.]
Did not perceive diseases such as influenza as posing a health concern to them or their patients.,[0. 0. 1. 0. 0. 0. 0.]
Vaccination was unnecessary because of their young age; it was not necessary for children and infants to vaccinate,[0. 0. 0. 0. 1. 0. 0.]
homeopathic remedies; Naturopathic remedies.,[0. 0. 0. 0. 1. 0. 0.]
"Very sceptical of the efficacy of the HPV, meningococcal and H1N1 vaccines",[1. 0. 0. 0. 0. 0. 0.]
Disapproval of the HPV vaccine by expressing various concerns regarding its risk and safety when administered to young girls,[0. 0. 1. 0. 0. 0. 0.]
Disregarded vaccination as they believed that their immune systems alone can innately fight and ward off any infectious disease.,[0. 0. 0. 0. 1. 0. 0.]
The pertussis vaccine was seen as redundant and unnecessary.,[0. 0. 1. 0. 0. 0. 0.]
Schemes of pharmaceutical companies and injuries to children ,[1. 0. 1. 0. 0. 0. 0.]
Corrupted connection between pharmaceutical companies and the government (especially Democrats) ,[1. 0. 0. 0. 0. 1. 0.]
"Overarching conspiracy theory connecting prescription drugs, insurance, and opioids ",[1. 0. 0. 0. 0. 0. 0.]
"Swine are used in preparation of the vaccine, which contravenes Muslim religious belief.",[0. 1. 0. 0. 0. 0. 0.]
Vaccinations are a Western scheme to render children infertile.,[1. 0. 1. 0. 0. 0. 0.]
"Vaccinators being spies, either for the government or for foreign forces.",[1. 0. 0. 0. 0. 0. 0.]
"Linked to a broader indigenous resistance to colonial immunisation, and the prevalence of traditional beliefs; medical and health systems can be seen as a form of ‘therapeutic tyranny’ through which coercion, regulation and oppression can take place.",[0. 0. 0. 1. 1. 0. 1.]
Side-effects of the polio vaccination,[0. 0. 1. 0. 0. 0. 0.]
