text,label
Overkill by Government ,0
The vaccine is unnecessary ,2
Bungling Bureaucrats ,0
Sailors were coerced/threatened with retribution ,3
Consent form treated with suspicion ,0
The administration of the vaccine was bungled ,0
They had low susceptibility to vaccine preventable diseases,2
Vaccination was a personal decision unrelated to their role as HCPs,3
"Hospitals expected them to vaccinate without question, which led some nurses to oppose all vaccinations.",3
Willing to accept the risks of not vaccinating to ensure their decisional autonomy was not compromised and to be in control of their bodily integrity,3
Right to acquire vaccine preventable diseases and recover from them as long as it is their decision.,3
Preventable diseases were not sufficiently severe to warrant vaccination.,2
"Influenced by personal experiences undergoing vaccination as well as the experiences of their patients, fellow colleagues and family members.",6
The use of alternative methods to help prevent and combat vaccine preventable diseases that also reduced the need to vaccinate,4
Vaccine injuries and safety concerns ,2
Suggest vaccine exemptions as remedies ,4
Religious reasons ,1
Free-riders ,3
Saw vaccination as toxic for everybody. ,2
Malign a category of people as their explicit opposites,5
Fear of adverse events is a well-documented basis for hesitancy. ,2
They saw themselves as upholding while vaccinators did not.,4
Vaccinated people make other people sick ,4
Free ride ,3
Reasons to Refuse COVID-19 Vaccine ,0
Side Effects of COVID-19 Vaccine ,2
COVID-19 Vaccine as a Population Control Mechanism ,0
Comparison of COVID-19 with Other Health Issues ,0
Interpret the contraindications to vaccination far more liberally than did the government’s advisors. ,2
Religious objections,1
Adverse Reaction,2
Vaccine Being Fast-Tracked,0
Safety and effectiveness,2
Alternative treatments,4
"Poisons, additives, and ingredients",2
Financial motives,0
Conspiracy theories,0
Natural is best,4
Innate intelligence. ,4
Risk from vaccines themselves,2
"Risk of vaccines outweighing risk of disease, especially as the risk of disease becomes unfamiliar",2
"Weighing of risks and benefits of vaccines, or the benefits of vaccines",2
Negative health impacts ,2
Pharmaceutical industry mentions,0
Vaccine ingredients ,2
Vaccine research ,0
Family members,2
Religion,1
Pharmaceutical Industry ,0
Vaccine Ingredients ,2
Research & Clinical Trials ,2
Vaccine Safety ,2
Disease Prevalence ,2
Collusion and conspiracy ,0
Morality and necessity of individual choice ,6
Natural solutions ,4
Mother knows best: Maternal empowerment ,6
Distrust of conventional medicine establishment ,0
Russian roulette’ risk benefit analysis ,4
Risk associated with vaccines ,2
Conspiracy theory rhetoric,0
Safety concerns ,2
Fear of unknown long-term effects ,2
Concerns about lack of efficacy ,0
Lack of trust in vaccination sources/ organizations ,0
Shared apprehension from other mothers ,6
Natural herd immunity,4
Effective,4
Existing conclusions as unsubstantiated or flawed; Simultaneously upheld the boundaries of the technical sphere yet criticized the policing of those boundaries. ,0
Science as relative,6
Maternal instinct as superior ,6
Vaccination alternatives,4
Trust Issues ,0
Macro-level reluctance,0
Micro-level medical reluctance,0
Fear appeal,2
Economic interests,0
