text,labels
A belief that they had a low risk of infection as a result of the excessive hygiene practices employed during the course of their work; They adopted a healthy lifestyle that strengthened their immune system in natural ways; they have a strengthened immune system as compared to the general population,7
"Four particularly prevalent concerns that nurses expressed relating to decisional autonomy were: (i) personal versus professional vaccination decision, (ii) workplace policy changes, (iii) pressures from hospital administration to vaccinate, and (iv) bodily integrity.",10
Did not perceive diseases such as influenza as posing a health concern to them or their patients.,7
Vaccination was unnecessary because of their young age; it was not necessary for children and infants to vaccinate,2
homeopathic remedies; Naturopathic remedies.,2
"Very sceptical of the efficacy of the HPV, meningococcal and H1N1 vaccines",1
Disapproval of the HPV vaccine by expressing various concerns regarding its risk and safety when administered to young girls,6
Disregarded vaccination as they believed that their immune systems alone can innately fight and ward off any infectious disease.,2
The pertussis vaccine was seen as redundant and unnecessary.,7
"Overarching conspiracy theory connecting prescription drugs, insurance, and opioids ",0
"Swine are used in preparation of the vaccine, which contravenes Muslim religious belief.",4
"Vaccinators being spies, either for the government or for foreign forces.",0
Side-effects of the polio vaccination,6
The international measures being promoted to curb the Covid-19 virus were part of a war on Islam,0
Muslims are immune to the virus,7
"Measures such as social distancing, promotion of water drinking during the fast and suspension of pilgrimages are attempts by evil forces to suppress Islam",0
Health and disease as decreed by God. Having one’s child vaccinated is considered a breach of faith ,4
"People who do accept the risks, as presented by health officials, but who do not wish to subject their own child to the risks of vaccination. These people can be said to take advantage of herd vaccination without accepting the individual costs of achieving such herd vaccination. ",8
Symptoms of poor health,3
Over-consumption of medicine to conform to Western lifestyle expectations,2
Disengagement from nurturing children and self-care,2
"Ignorant, uncritical or fearful conformity. ",10
"Saw food that was fresh, organic and home-grown as a marker of responsible living",2
"Those who relied upon vaccination for wellness demonstrated poor values: not sufficiently tending to children at home, or indeed having children for reasons that seemed unfathomable. ",5
"The unwillingness of many people in contemporary society to stop, rest and allow bodily recovery",2
Herd immunity is an impossible aim,2
"Staying away from the vulnerable, particularly when ill but also sometimes when healthy. ",2
The CDC lied about scientific findings concerning vaccine safety as part of a massive government cover-up.,0
Healthcare workers are among those who refuse to get vaccinated. ,1
Getting Bell’s Palsy; Sterilization and even death. ,6
"The use of COVID-19 vaccine to control the population; Bill Gates and Dr. Anthony Fauci had instigated measures (i.e., microchips and enzymes in the vaccine) to control the population through the administration of the COVID-19 vaccine. ",0
Include the term “plandemic” in the parleys which infers that governments and certain powerful individuals “planned” this health crisis to vaccinate children without parental consent as part of the new world order to control future populations. ,0
Perpetuate the notion that COVID-19 vaccine is administered through coercion or required for military personnel,10
Magnitude of COVID- 19 with other pandemics such as H1N1 and Ebola,7
Vaccine efficacy such as H1N1 and flu vaccine,1
Risk of getting infected with the virus,7
downplaying the magnitude of COVID-19 in comparison to number of deaths caused by flu and abortion each year. ,7
Downplay the COVID-19 severity by equating it to influenza,7
"a series of 160 cases of encephalopathy that, he asserted, represented likely pertussis vaccine reactions. ",6
Profoundly retarded children allegedly injured by the vaccine,6
COVID is a Hoax,0
Vaccine is a Hoax,0
"Illness, damage, or death; Learning disabilities, asthma, and diabetes, to autism, attention deficit-hyperactivity disorder, and Down Syndrome; Parents’ stories about adverse vaccine effects on their children ",6
A violation of civil liberties as associated with mandated vaccination (totalitarianism),10
"Homeopathy, chiropractic, or other alternatives to vaccination ",2
Mercury and aluminum compounds,6
Vaccination being conducted solely for financial gain or that vaccinations were promoted by those with conflicts of interest ,1
Manufactured or exaggerated threat to boost vaccination.,0
"The human body, when it is healthy, is capable of fighting off, or suppressing, any disease. ",2
"A belief described frequently by naturopaths, homeopaths, and chiropractors is that the body has an innate ability to heal. ",2
"Susceptibility to infections was seen as the result of poor personal management of, for instance, diet, stress, exercise, and body alignment (i.e. chiropractors emphasized body alignment)—thus disrupting innate immune processes. ",2
The blood– brain barrier (BBB) “does not exist in infants.”,2
Deaths attributable to vaccines and vaccine-caused autism; associations between vaccines and paralysis and seizures ,6
A conspiracy by “Big Pharma” to increase sales revenue.,0
The government’s role in vaccine injury claims and allegations that the government deliberately conceals negative vaccine side effects. ,1
Criticized vaccine research or institutions conducting research or promoted pseudoscience as fact. ,1
The human papillomavirus vaccine and its association with negative health impacts after vaccnination,6
"The influenza vaccine, highlighting studies showing associations with other respiratory infections, renal failure, and suppressed immune responses",6
"SIDS, autism, or death ",6
"The pharmaceutical industry overall, or a specific pharmaceutical company, such as Merck or Pfizer ",1
"Toxins, mercury, or lead ",6
Studies showing negative health outcomes due to vaccines ,6
Concerns or questions around the safety of vaccines ,6
" ""Murdoch Media Monopoly,”",0
"Governmental agencies, such as the CDC, and pediatricians. Each entity was presented to be primarily concerned with financial gain",1
Big Pharma and governmental agencies were portrayed as fully corrupt and knowledgeable about the fraud and deceit they actively engaged in for illicit gain. ,0
The media were portrayed as ‘‘crooked” and accused of possessing financial motivations to propagate continued vaccina- tions ‘‘which harm and kill.” ,1
Skin infections; Autism; Detox their children while there is still time; glyphosate,6
Freedom of individual parents to choose whether or not to vaccinate their children as a ‘‘basic human right.” ,10
"Specifically those affiliated with religions such as Christianity, unknowingly oppose the ingredients found in vaccines, such as aborted fetal cells.",4
"Natural immunity, which can only be obtained when children contract ‘normal’ childhood illnesses",2
"A healthy GMO-free diet, sunshine, vitamin supplements, essential oils, sleep, and exercise. ",2
Holistic or “crunchy” parenting styles that include practices such as co-sleeping and breastfeeding were touted as superior,2
Anything that can be done to reduce exposure to toxins or carcinogens should be employed. ,2
What were depicted as minor infections (e.g. a case of the measles was portrayed to be a “fun” day at home in bed with a coloring book and a chance for mother and child to bond),7
"Exhorted mothers never to take their baby to a wellness checkup, which was described as a guise for a financially-motivated vaccination appointment. ",1
"Maternal instincts, or the reported feeling of a unique bond with one’s offspring, was a source of empowerment",9
Expressed relying on their gut as the deciding factor to stay the course,9
"Called into question the credibility of doctors, large pharmaceutical companies such as Merck and Bayer, and governmental health agencies such as the CDC. Some group members",1
"The education of medical professionals was denounced as inadequate, and providers were compared to sheep blindly recommending vaccinations about which they have limited knowledge. Commenters also expressed concern that the CDC’s evidence for recommending vaccines as a preventative tool is not sufficient, called into question the ethics of the agency, and summarized evidence that attempted to discredit the CDC’s recommended vaccine schedule. ",1
Accused doctors of encouraging parents to vaccinate children for the sole intent of making a profit. ,1
"Anger was directed at pediatricians in the form of name-calling (e.g. liars, fear-mongerers, bullies). ",1
"Unvaccinated children were portrayed as more capable, more advanced in their motor skills, and generally happier. ",2
"Concern on the ingredient list seemed to be mercury and aluminum adjuvants, formaldehyde, and gly- phosate, colloquially known as Round Up. ",6
"Vaccine-induced immunity was considered to be an illusion; vaccinations actually led to increased disease outbreaks as a whole, and they believed that many diseases would have been eradicated naturally by now had vaccinations not been invented. ",2
Could easily become just another statistic. ,10
Vaccines cause autism ,6
Thanks to her ‘mother’s instinct’ ,9
Compared him to Nazi physician Josef Mengele ,1
Hired gun for “Big Pharma”,0
"Concerted effort by the media, government agencies, and pharmaceutical industry to conceal the truth about the vaccination–autism link.",0
“The system” corrupts the scientific processes and discourages meaningful dissent from doctors and scientists ,1
A vilified “Big Pharma” industry plays a central role in in this conspiracy. ,0
Possible risks would outweigh benefits to their daughter’s health.,7
Their physicians did not support the daughter being vaccinated,1
The side effect chances appear to be more than “a sore arm” or a “fever”,6
Increased sexual activity by their daughters,5
"Broad distrust of the government and the media, and articulates the supposed , a major point of contention in the information wars about vaccine safety. ",1
Link between vaccines and autism,6
Distrust of chemical elements,6
Vaccination is a burden on the taxpayer.,3
"Rising incidence of a plethora of pathological conditions, associated with either the rising number of specific vaccines, or the rising number of people who are vaccinated.",6
Resistance to needles entering one’s body,6
A single flu vaccine contains more mercury parts per billion than does hazardous waste,2
Careful not to exposure to disease,2
View diseases as a natural part of life; they strengthen the body through immunity and the spirit and mind thanks to the process of coping with and curing the infectious disease,2
Concerned with safety of vaccine (…) and long term size effects,6
Questions commercial and societal motives; Suspicion that the pharmaceutical industry influenced recommendations to make a profit.,1
Refusal of vaccination is an informed and responsible decision.,10
Fears of “tainted” vaccine batches.,6
Determining the superiority of mainstream or alternative methods of acquiring immunity was impossible,2
"Whereas vaccines included adulterated versions of the virus and adjuvants, nosodes contained no crude virus but rather the true “molecular imprint” of it.",2
"Parents who dedicated “countless hours” to researching the risks of vaccines might know more about the risks and benefits than medical authorities, who based their claims on blind faith in vaccination.",9
Some people were getting vaccines when they would not have contracted the disease anyway,7
Catching a disease aided child development; disease helped the child develop a sense of self and non-self; nosodes acted in concert with so-called natural disease processes.,2
The term morphogenetic field was used to resist the concept of vaccine-based herd immunity and argue for so-called natural herd immunity.,2
The Measles Mumps Rubella (MMR) vaccine in rising rates of autism.,6
Homeoprophylaxis schedule had an effectiveness of around 86.2–91.6%; The measles nosode had a 90% efficacy rate,2
"Chemical adjuvants, such as aluminum",6
Much of the technical sphere discourse surrounding vaccines was itself neither credible nor in line with rigorous standards; The very standards which excluded their own ability to be legitimate voices in the technical sphere also excluded the evidence produced by so-called experts; Truly “conclusive” research was lacking. ,1
"Criticized research for failing to isolate specific potential causal mechanisms, or for generalizations made to populations not explicitly included in studies. ",1
The standards of the technical sphere had become too lax. ,1
"Cited doctors who made factually inaccurate statements, missed key diagnoses, or were unable or unwilling to answer particular questions.",1
The expert status of health care providers was also related to concerns about their motives. ,1
Conflicting interests infiltrating the technical sphere,1
Truth itself is a relative entity; Scientific truth as a social construction ,9
"It was not the conclusions of research that matter but, rather, the process of discovery. This distinction reflected the importance of doing one’s own research; Scientific research—and the conclusion it yields—is personal. ",9
"Mothers’ personal experiences and perspectives were endowed with greater significance and credibility; Indeed, in light of the perceived failures of science, the “mommy gut,” or maternal intuition, emerged as a significant sense- and decision-making tool. ",9
Link between mercury (thimerosal) and vaccines,6
Questioning the efficacy of vaccines to prevent symptoms,1
Vaccination can lead to higher degrees of risk,7
"Plant extracts, ‘biopuncture’, ultraviolet blood irradiation, acupuncture, Vitamin C & D, herbs, ‘immune booster shots’, etc.; homeopathy; [naturopathy].",2
"Trust towards the government, public health experts, health authorities, pharmaceutical companies, and the media. ",1
Moderate character of the pandemic,7
Skepticism regarding the need for vaccination,7
Found it problematic to predict how severe the pandemic would be.,7
Demanding that campaign organizers write posts on side effects,1
Concern about the safety of the vaccines,6
Susceptibility to the possible diseases,7
Children either dying or getting sick after being vaccinated. ,6
Negative relationship they have with their doctors,1
"Challenges to the paternalistic authority of science and medicine, ",10
Those allergic to eggs and chickens to avoid the measles vaccine,2
Vaccinating a child against polio could cause the disease in other family members,2
Doing their own research on the subject beforehand— advice directly informed by the women’s health movement. ,9
Elevated mothers to the level of scientific experts on the subject of children’s vaccine reactions; this very form of experiential knowledge production was fostered by the women’s health movement.,9
"Other vaccine-critical mothers blamed not just doctors but also the government and drug industry, alluding as they did so to a large-scale cover-up of the dangers of the by then widely administered vaccines. ",0
Mechanistic link between the measles–mumps–rubella (MMR) vaccine and the development of autism in children ,6
The link between vaccines and autism has been kept hidden by unethical practices among CDC scientists and the agency’s close ties to the pharmaceutical industry. ,0
Demanded reduction of the brain-damage risk associated with the pertussis component of the combined diphtheria–pertussis–tetanus vaccine ,6
Vaccine-induced developmental delays in children ,6
"Health consequences associated with the biological components or contaminants of vaccines, including the microbial causes of erysipelas, syphilis, and tetanus. ",6
"Biological ‘‘impurities’’ in the vaccine; formaldehyde, glycerin, thimerosal, and aluminum.",6
Patient’s rights movement’s focus on informed consent; the women’s health movement’s emphasis on self-education; and an anti-medicalization movement that led some to question the new push for vaccination against infections,9
That all vaccines are treated as equally urgent despite dramatic differences among the infections they prevent,7
Reservations about the vaccine and saying that they wanted to see other groups get the vaccine first or gain understanding of connections to negative consequences.,6
A link between the MMR vaccine and gastrointestinal and developmental disorders in vaccinated children. ,6
"Alternative ‘natural’ approaches to vaccination such as ‘homeopathic vaccination’, ‘immune system boosting’ through a natural healthy diet; cites chicken pox, cholera, diphtheria, rabies, measles, mumps, pertussis (whooping cough), pneumonia, polio, rubella, smallpox, tetanus and tonsillitis, as susceptible to such ‘immunizations’. ",2
All were conservative in orientation. ,3
"This generally involved accusations of cover-ups involving government agencies such as the CDC, scientists and ‘big pharma’, and the silencing of those who speak out against the vaccine ‘orthodoxy’. These evocations of big business and government working closely together pose legitimate questions about accountability and echo long-standing concerns about the influence of pharmaceutical companies on health policy; The use of vaccination in a ‘totalitarian’ agenda, the use of ‘mind control’ and a ‘new world order’; the state is implicated in murder. 
",0
Mercury,6
Autism,6
Civil rights; vaccine choice; health freedom; Children's Righta,10
Big Pharma,0
Religious Exemption,4
"Uncertainties varied and related to possible long-term negative effects of vaccines on children's immune systems; autoimmune diseases, and unknown long-term effects of aluminum and other additives on the body, particularly the brain. ",6
[Personal] experiences allowed participants to express perspectives diverging from generally accepted biomedical consensus on health and illness. ,9
"Constructed Switzerland as a safe space; The risk of contracting certain VPDs, such as poliomyelitis, was virtually null in Europe and Switzerland.",7
Lack of clear scientific consensus in Switzerland before the implementation of new vaccination recommendations. ,1
"Depict them as treating humans, not herds",10
Beliefs about 'toxic ingredients’ in the vaccines; ‘poisoning children’ or ‘making the child sick,6
"Concerns about the potential side-effects of the vaccine; disabilities, deafness, mental damage, coma or death; autism, polio or cancer as a result of vaccinating their children.",6
"A good diet and a healthy lifestyle prevented the diseases that vaccines targeted, rendering the necessity of vaccination redundant or at least of reduced importance",2
These diseases were not significantly dangerous to merit vaccination; diseases targeted by vaccines are not life-threatening.,7
"They preferred their children to have ‘natural’ exposure to such diseases, thereby developing a ‘natural’ immunity; diseases are ‘natural’.",2
"Lack of trust in government institutions, and this extended to mistrust about their motives in relation with promoting vaccination",1
The relationship between the pharmaceutical industries and other influential organizations was viewed as dishonest with financial gain being at the heart of this.,1
The medical profession being influenced by the interests of vaccine manufacturers,1
Doubts about the integrity of scientific research which then created a lack of trust in the evidence they are presented with to support vaccine efficacy and safety.,1
Considering such information to be subjective and/or manipulated e especially the manner in which side-effects are minimized and reported.,1
Lack of trust in the media who are mainly seen as supporting the medical establishment viewpoint on vaccines and not promoting and supporting an ‘open’ debate about vaccine safety.,1
Vaccines represent an ‘unnatural’ approach to health and therefore are contrary to the natural actions of the body and somehow interfere with the body's ability to protect itself against disease; vaccination deprived children of the opportunity to develop immunity in a natural way.,2
Vaccination interfered with the natural immunity acquired from breastfeeding.,2
"Postponing vaccination, breastfeeding and allowing the child to acquire the target infections naturally",2
Children should have a life ‘free from chemicals and toxic ingredients’; they wanted to provide their children with a life without such toxicity.,6
[Vaccine resistance] was linked to religious faith and that vaccination was an act that would impinge on divine actions concerning the health of their child; felt that it was up to God to decide if their children would be ill or not and that vaccination was contrary to that faith-based belief.,4
Need to be fully informed to make vaccine related decisions; parental decision making is often affected by not having enough information about vaccination; ,1
There is a lack of information particularly about side effects.,1
"Difficulty in dealing with ambivalent information; A lack of objective information and that the information on vaccines is fragmentary, unbalanced and consequently unreliable.",1
"The toxicity of vaccine ingredients, vaccine side effects and the ability of the vaccines to cause disease; risk of damage that vaccinations may cause to the immune system.",6
Mistrust towards both health and pharmaceutical institutions which stemmed from a perception of personal gain for those working in them.,1
"A strong burden of responsibility around decision-making and talked about living in fear that, by choosing to vaccinate, they may expose their child to harm (from the vaccine); feeling judged and marginalized;",6
The responsibility parents felt as a result of this vicarious decision making was offset by turning to spiritual and religious beliefs and placing the fate of their child with God.,4
One could not rely on medical professionals in reference to vaccines,1
Privileging individualist epistemologies and experiential knowledge over medical expertise; Privileging of maternal individualist knowledge over the opinion of medical professionals,9
Mothers sought to establish themselves as a trustworthy source of information related to vaccine injury ,9
The actions of medical professionals were also cause for skepticism among parents providing testimonials. ,1
"Mentioned forms of “research” they conducted; go online as a means of validating their individualistic epistemologies, seeking affirmation through externalization of their diagnostic processes. ",9
"Urging the audience to “research, research, research” and “trust your gut” when considering vaccinations for their children. ",9
The strength of the VR/H community was cited at times to bolster individual mothers’ claims of credibility,9
Instances of researching vaccines and descriptions of prior medical knowledge were also prevalent means to justify a mother’s credibility and knowledge of vaccines and vaccine injury,9
"The theme of community building presented whenever the individual created a dichotomy between two groups of people—some trustworthy, others not; Individuals who did not support the anti- vaccination perspectives were often viewed as “others” who were not part of the VR/H community.",1
Causes death ,6
Ineffective ,1
Sexual Promiscuity,5
Vitamin D/bicarbonate,2
The rotavirus vaccine is unnecessary,7
Children are already receiving many vaccines.,2
It gave them influenza,6
It contained last year’s influenza strain or because there were too many different strains:,1
Autism; Dangerous chemicals,6
"Rejected the idea that medical expertise, especially clinical data tabulated by practitioners in-the-field, should be unquestionably privileged.",9
Vaccinators could not objectively assess the effects of vaccination because they had a financial stake in supporting the practice,1
"Specialisation and vaccination expertise itself created systemic biases that were embedded in vaccination statistics to favour consistently evidence supporting vaccination; This system separated vaccinators from any failures (i.e. when those they vaccinated did catch smallpox), and it made it significantly easier for those attending smallpox cases to dismiss the skill and adequacy of the vaccinators when cataloguing cases of smallpox among the vaccinated.",1
An alternative interpretive framework for the existing epidemiology and vaccine statistics,9
"Physicians, even those specialising in vaccination, could not accurately distinguish clinically between a variety of viruses artificially inoculated in a subject (different species such as syphilis, smallpox, and other animal contagions produced clinically ambiguous signs), and thus they could neither verify that a vaccination pustule would give immunity, nor distinguish a true vaccine pustule from spurious ones",1
"Vaccinators’ tacit knowledge surrounding the practice, and their expectations of the ‘proper’ outcome of each vaccination, interposed a recursively subjective reading of the data, and this occurred both consciously and unconsciously, and in predictable ways.",1
Unvaccinated subgroups are not equally susceptible to smallpox,7
"Vaccination was an expensive distraction from more proven approaches to disease control such as rigorous sanitation and quarantine of infectious cases, improved personal health through better nutrition, exercise, and a cleaner environment.",2
Cultural stereotypes that portrayed the working class as the locus of disease.,3
"Theories of the relationship between physical and spiritual health, damaging the body could also endanger the soul",2
Toward institutions,1
Toward science (Appealed to science’s fallibility),1
Toward vaccination rates,1
Toward herd immunity,2
"Vaccines cause diseases/illnesses: Attention-deficit/hyperactivity disorder (ADHD) Allergies; Asthma; Autism; Autoimmune disease Behavioral issues; Cancer; Death; Developmental regression; Diabetes; Disease that vaccine is protecting against (e.g., influenza illness from influenza vaccine); Guillain-Barre syndrome; HPV infection; Illness (general); Immune system compromise Infertility (HPV only); Irregular menses (HPV only); Learning disabilities; Liver problems; Premature menarche (HPV only); Seizures; Sudden infant death syndrome (SIDS)",6
Vaccines contain harmful ingredients ,6
Younger children are more susceptible to vaccine risks ,6
Vaccine is too new/not fully studied ,1
Vaccines do not work for everyone,2
Herd immunity increases risks of vaccine-preventable diseases ,2
Black children are given low quality vaccines,1
Naturally developed immunity is superior,2
Natural remedies as substitutes for vaccines,2
Environmental control as substitute for vaccines,2
Vaccine-preventable diseases are not severe,7
Herd immunity works so vaccination is not necessary,8
Lifestyle choices as substitutes for vaccines,2
Vaccine is unnatural human intervention ,2
Herd immunity does not work,1
Vaccine schedule is not related to effectiveness,1
Vaccines do not work ,1
Herd immunity implies herd mentality,10
Vaccine decision is a parent’s right ,10
Some vaccine ingredients are derived from fetuses ,5
HPV vaccine promotes sexual activity,5
"[Vaccinations which are given by nursing staff] as being risky to patients, due to lack of continuity of care and perceived lack of qualifications and expertise in staff groups.",1
Expressed concern about the training and individual expertise of GPs.,1
Favouring the medical input of Poland to the Health Visitor (nurse) in Scotland.,1
